Order ID,Order Date,Shipment Date,Delivery Date,Customer ID,Customer Region,Customer Country,Product ID,Product Name,Product Category,Supplier ID,Supplier Name,Supplier Region,Warehouse ID,Warehouse Location,Transportation Mode,Order Quantity,Unit Price,Total Cost,Shipping Cost,Delivery Time Days,Inventory Level,Order Status,Profit
100000,4/12/2024,4/15/2024,4/24/2024,C6734,Asia,China,P16265,Denim Jeans,Apparel,S566,Atlas Sourcing,Europe,WH 02,Lahore,Road,224,16.39,3671.36,18.82,9,2285,Delivered,668.08
100001,2/17/2025,2/22/2025,2/25/2025,C7420,Africa,Egypt,P93104,Bluetooth Speaker,Electronics,S559,BlueRiver Trading,Europe,WH 04,Istanbul,Road,323,264.66,85485.18,21.63,3,797,Cancelled,-21.2
100002,11/30/2025,12/5/2025,12/9/2025,C2267,Africa,Kenya,P41551,Face Mask Box,Healthcare,S604,Atlas Sourcing,Middle East,WH 10,Cairo,Road,140,78.52,10992.8,16.44,4,846,In Transit,2109.07
100003,8/29/2024,8/30/2024,9/3/2024,C7235,Asia,Vietnam,P33483,Bottled Water Case,FMCG,S554,Zenith Procurement,North America,WH 03,Dubai,Air,437,27.28,11921.36,56.83,4,4314,Delivered,821.66
100004,1/24/2025,1/29/2025,2/17/2025,C7873,North America,United States,P81211,Power Bank,Electronics,S261,BlueRiver Trading,North America,WH 06,Amsterdam,Sea,211,408.98,86294.78,8.79,19,319,Delivered,13786.48
100005,12/2/2025,12/6/2025,12/11/2025,C5887,Asia,China,P22185,Storage Cabinet,Furniture,S316,BlueRiver Trading,Middle East,WH 02,Lahore,Air,261,228.18,59554.98,45.42,5,542,Delivered,7811.56
100006,12/9/2024,12/9/2024,12/13/2024,C6258,Africa,Nigeria,P97538,First Aid Kit,Healthcare,S692,BlueRiver Trading,Asia,WH 04,Istanbul,Air,401,67.78,27179.78,54.5,4,3761,Delivered,4897.75
100007,2/2/2024,2/7/2024,2/12/2024,C9154,Asia,Vietnam,P80592,Shampoo Pack,FMCG,S838,Evergreen Partners,North America,WH 08,Chicago,Air,110,48.73,5360.3,35.64,5,2990,Delivered,769.61
100008,1/27/2025,1/28/2025,1/30/2025,C8858,Europe,Italy,P60015,Denim Jeans,Apparel,S842,Nova Industrial,Asia,WH 10,Cairo,Air,250,44.58,11145,44.71,2,245,Delivered,1380.36
100009,10/16/2025,10/18/2025,11/9/2025,C4157,Africa,Kenya,P32299,Bottled Water Case,FMCG,S677,Evergreen Partners,North America,WH 09,Johannesburg,Sea,179,41.37,7405.23,11.28,22,3360,Delivered,538.59
